Serial_Number,Month,Month_Counts,Year,Year_Counts,Day,Day_Counts
0,12,354,2019,389,14,202
1,2,302,2018,367,29,176
2,1,287,2017,348,11,158
3,11,263,2020,343,17,133
4,7,235,2014,141,18,128
5,6,222,2015,140,25,114
6,3,205,2016,126,7,108
7,10,180,2013,105,19,106
8,9,175,2011,86,24,105
9,5,168,2012,83,21,97
10,4,141,2010,69,15,92
11,8,134,2009,62,6,89
