Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
1HOPSAT-TD (1st-generation High Optical Performance Satellite),USA,Hera Systems,Commercial,Earth Observation,LEO,Non-Polar Inclined,566,576,36.9,96.08,22,0,0,12/11/2019,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44589,Pathfinder for planned earth observation constellation.
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,Not Available,"35,693","35,878",11.53,1436.06,"3,180","1,600","1,800",9/29/1988,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,Backup; still partially operational.
FLTSATCOM-8 (USA 46),USA,US Navy,Military,Communications,GEO,Not Available,"35,745","35,829",8.97,"1,436.13","2,310","1,884",0,9/25/1989,5,"TRW, Defense and Space Systems Group",USA,Cape Canaveral,Atlas Centaur,1989-077A,20253,Old system replaced by UFO satellites; this satellite still operational as of 2009.
AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,Sun-Synchronous,442,687,98.2,95.9,1,0,0,4/25/2016,0,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.
Skynet 4C ,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,Not Available,"35,775","35,797",13.6,1436.07,"1,474",850,"1,200",8/30/1990,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 5 hrs of communication to the National Science Foundation each day.
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,SES S.A.,Government/Commercial,Communications,GEO,Not Available,"35,773","35,796",9.4,1436.99,"3,180","1,600","1,800",8/2/1991,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,Used by South Pole station.
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,GEO,Not Available,"35,773","35,787",8.74,1435.7,"3,180","1,600","1,800",1/13/1993,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom."
"UFO-2 (USA 95) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,Not Available,"35,766","35,807",8.27,1436.12,"3,200","1,545","2,800 (EOL)",9/3/1993,0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,754","35,819",5.99,1436.13,"4,536",0,"8,000",2/7/1994,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Titan 4A,1994-009A,22988,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system."""
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,GEO,Not Available,"35,598","35,976",5.1,1436.13,"8,000","4,000",0,8/27/1994,0,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.
Astra 1D ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,795",1.15,1436.08,"2,924","1,700","3,300",11/1/1994,15,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,Not Available,"35,763","35,775",3.34,1435.22,"3,200","1,545","2,800 (EOL)",1/29/1995,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.
"MSAT 2 (AMSC-1, ACTel-1)",USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,Not Available,"35,776","35,796",4.02,1436.09,"2,850","1,330","3,300",4/7/1995,10,Hughes Space and Communications Co. ,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,Not Available,"35,767","35,803",10.6,1436.04,"3,180","1,600","1,800",7/13/1995,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,"Tracking and communications with space shuttle, other missions."
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,784","35,784",0,1436.1,"1,156",884,"1,240",7/31/1995,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,Moved to replace GOES 3 in providing internet service to researchers in Antarctica for 3.5 hours per day.
INMARSAT 3 F1 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,Not Available,"35,764","35,808",0.08,1436.08,"2,064",860,0,4/3/1996,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-020A,23839,"Broadcasting, business services, mobile communications; leased traffic; demand-assigned L-band transponders; Indian Ocean region."
Astra 1F ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,778","35,797",0.03,1436.15,"3,010","1,800","4,400",4/18/1996,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.
MSAT 1 ,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,Not Available,"35,763","35,809",1.37,1436.09,"2,850","1,330","3,300",4/20/1996,12,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846,Wireless network for North America
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,GEO,Not Available,"33,674","37,900",7.33,1436.12,"8,000","4,000",0,4/24/1996,0,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1996-026A,23855,In the $1 billion range; ELINT; signals intelligence.
INMARSAT 3 F2 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,Not Available,"35,763","35,809",0.08,1436.1,"2,070",860,0,9/6/1996,13,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton,1996-053A,24307,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Atlantic Ocean region."
"AMC-1 (Americom 1, GE-1)",USA,SES S.A.,Commercial,Communications,GEO,Not Available,"35,772","35,800",0.03,1436.1,"2,783","1,600","6,500 (EOL)",9/8/1996,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"
Aeneas,USA,Department of Homeland Security,Government,Technology Development,LEO,Equatorial,480,790,0.02,97.4,3,0,0,9/13/2012,0,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.
INMARSAT 3 F3 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,Not Available,"35,761","35,810",0.09,1436.07,"2,074",860,0,12/18/1996,13,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas,1996-070A,24674,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region."
Aerocube 10A (Jimsat),USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,469,481,51.6,94.15,2,0,0,8/9/2019,0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,Not Available
Aerocube 10B (Dougsat),USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,471,483,51.6,94.15,2,0,0,8/9/2019,0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,Not Available
Aerocube 11A (TOMSat Eagle Scout),USA,Aerospace Corporation,Commercial,Technology Development,LEO,Polar,495,511,85.03,94.6,4,0,0,12/17/2018,0,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.
Aerocube 11B (TOMSat R3),USA,Aerospace Corporation,Commercial,Technology Development,LEO,Polar,492,511,85.3,94.6,4,0,0,12/17/2018,0,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.
Aerocube 12A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,481,487,51.6,94.2,4,0,0,7/16/2018,0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,Not Available
Aerocube 12B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,481,487,51.6,94.2,4,0,0,7/16/2018,0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,Not Available
Aerocube 14A,USA,Aerospace Corporation,Military,Technology Development,LEO,Non-Polar Inclined,459,474,51.6,93.9,0,0,0,1/31/2020,0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."
Aerocube 14B,USA,Aerospace Corporation,Military,Technology Development,LEO,Non-Polar Inclined,459,474,51.6,93.9,0,0,0,1/31/2020,0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."
Aerocube 15A,USA,Aerospace Corporation,Military,Technology Development,LEO,Non-Polar Inclined,458,474,51.6,93.9,0,0,0,1/31/2020,0,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit."
Aerocube 5C,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,500,802,64.78,97.74,2,0,0,10/8/2015,0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication."
Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Sun-Synchronous,614,700,97.98,97.88,5,0,0,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.
Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Sun-Synchronous,614,700,97.98,97.88,5,0,0,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.
Aerocube 7A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,500,802,64.6,97.4,2,0,0,10/8/2015,0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,Not Available
Aerocube 8A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,356,700,55,95.19,5,0,0,5/20/2015,0,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,Not Available
Aerocube 8B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,356,700,55,95.19,5,0,0,5/20/2015,0,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,Not Available
Aerocube 8D,USA,Aerospace Corporation,Commercial,Technology Development,LEO,Sun-Synchronous,572,584,98,96.23,2,0,0,11/11/2016,0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,Not Available
"AMC-2 (Americom 2, GE-2)",USA,SES S.A.,Commercial,Communications,GEO,Not Available,"35,774","35,798",0.05,1436.1,"2,648","1,600","6,500 (EOL)",1/30/1997,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"
AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,Sun-Synchronous,544,552,97.9,96.2,215,197,216,4/25/2007,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.
AISat-1,Germany,German Aerospace Center (DLR),Government,Communications,LEO,Sun-Synchronous,643,660,98.25,97.76,14,0,0,6/30/2014,0,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,Sun-Synchronous,615,632,98,97.2,6,0,0,7/12/2010,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,Sun-Synchronous,625,631,98.4,97.27,6,0,0,7/8/2014,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.
AIST-1,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,Polar,599,626,82.4,96.9,0,0,0,12/28/2013,0,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
AIST-2,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,Non-Polar Inclined,558,582,64.88,96.06,53,0,0,4/19/2013,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
AIST-2D,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,LEO,Sun-Synchronous,471,486,97.28,94.18,531,0,0,4/27/2016,0,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures."
AISTechSat-2,Spain,AISTech,Commercial,Earth Observation,LEO,Sun-Synchronous,574,592,97.8,96.4,3,0,0,12/3/2018,0,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.
AISTechSat-3,Spain,AISTech,Commercial,Earth Observation,LEO,Sun-Synchronous,490,506,97.5,94.6,2,0,0,4/1/2019,0,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,779","35,794",0.02,1436.1,"3,124","1,841","5,200",2/16/1997,12,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1997-007A,24732,"Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010."
DSP 18 (USA 130) (Defense Support Program),USA,US Air Force,Military,Earth Observation,GEO,Not Available,"35,780","35,800",0.1,1436.27,"2,380",0,"1,485",2/23/1997,5,TRW and Aerojet Electronics Systems,USA,Cape Canaveral,Titan IVB,1997-008A,24737,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.
ALE-2 (Astro Live Experiences-2),Japan,Astro Live Experiences,Commercial,Earth Science,LEO,Sun-Synchronous,397,414,97.01,92.06,75,0,0,12/6/2019,0,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.
Al-Farabi-2,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,LEO,Sun-Synchronous,573,589,97.7,96.2,4,0,0,12/3/2018,0,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Technology demonstration mission.
ALiCE  (AFIT LEO iMESA CNT E),USA,US Air Force Institute of Technology,Military,Technology Development,LEO,Polar,443,886,120.3,98,5,0,0,12/6/2013,0,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.
Alsat 2B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,646,660,98.2,97.7,117,0,0,9/26/2016,5,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.
Alsat-1B,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,661,704,98.2,98.4,103,0,0,9/26/2016,5,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
AlSat-1N,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,LEO,Sun-Synchronous,661,698,98.2,98.3,10,0,0,9/26/2016,0,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.
Alsat-2A (Algeria Satellite 2A),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,672,674,98.1,98.2,130,0,0,7/12/2010,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,Intelsat S.A. ,Commercial,Communications,GEO,Not Available,"35,771","35,801",0.03,1436.08,"3,515",0,0,5/24/1997,13,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,1997-026A,24812,"24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean."
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",USA,Intelsat S.A.,Commercial,Communications,GEO,Not Available,"35,774","35,798",0.03,1436.09,"2,730","2,519","9,700",8/28/1997,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-046A,24916,"28 C-band, 28 Ku-band; covers Arab world. Inclined."
"Eagle-1 (AMC-3, Americom 3, GE-3)",USA,Global Eagle Entertainment,Commercial,Communications,GEO,Not Available,"35,777","35,795",0.02,1436.08,"2,845","1,600","6,500 (EOL)",9/4/1997,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,"North America, Caribbean, Gulf of Mexico"
NSS-5 (Intelsat 803),Netherlands,SES S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,796",0,1436.08,"3,412","2,000",0,9/23/1997,14,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L,1997-053A,24957,"38 C-band, 6 Ku-band; Pacific Ocean region; shared capacity with Intelset. In 2012 moved by NSS to secure orbital slot 50.5 for Thaicom under future plan agreement."
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",USA,US Air Force,Military,Communications,GEO,Not Available,"35,757","35,817",2.54,1436.1,"1,156",884,"1,240",10/24/1997,10,Lockheed Martin Missiles & Space,USA,Cape Canaveral,Delta 4,1997-065A,25019,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band."
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Elliptical,Not Available,"1,210","38,740",64.7,709.61,"8,000",0,0,11/8/1997,0,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1997-068A,25034,Signals intelligence; surveillance of cellular phones.
Astra 1G ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,780","35,791",0.04,1436.08,"3,379","3,010","6,600",12/2/1997,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
INMARSAT 3 F5 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,Not Available,"35,769","35,803",0.04,1436.07,"2,000",895,"2,800",2/4/1998,13,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1998-006B,25153,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity."
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,Not Available,"35,772","35,794",5.24,1435.94,"3,206","1,545","3,800 (EOL)",3/16/1998,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1998-016A,25258,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,Not Available,"35,560","36,013",7.72,1436.14,"4,500",0,0,5/9/1998,0,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.
Astra 2A ,Luxembourg,SES S.A.,Commercial,Communications,GEO,Not Available,"35,776","35,797",0.08,1436.12,"3,635","2,500","7,000",8/30/1998,15,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after."
Galaxy-11,USA,PanAmSat (Intelsat S.A.),Commercial,Communications,GEO,Not Available,"35,785","35,795",0.05,1436.11,"4,488","2,775","10,400",1/21/1999,14,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 4,1999-071A,26038,"Voice and video communications; 24 C-band, 40 Ku-band; North America, Brazil. Solar panels very degraded - will serve for DTH applications."
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,Not Available,"33,782","37,768",0.07,1435.52,"2,900","1,230","5,200",2/15/1999,14.5,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630,"32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan."
Skynet 4E ,United Kingdom,Ministry of Defense,Military,Communications,GEO,Not Available,"35,774","35,797",4.99,1436.06,"1,510",759,"1,200",2/26/1999,7,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,1999-009B,25639,"Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications."
AmGU-1 (AmurSat-1),Russia,Moscow State University,Civil,Space Science,LEO,Sun-Synchronous,514,547,97.5,95.2,4,0,0,7/5/2019,0,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
AsiaSat-3S (Asiasat 3SA),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,Not Available,"35,780","35,792",0.02,1436.07,"3,480","2,500","10,000",3/21/1999,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications"
Arabsat 7F (Nimiq 1) ,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,Not Available,"35,778","35,794",0.01,1436.09,"3,600","1,700","8,600",5/20/1999,12,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Television broadcast;  32 Ku-band.
"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,Not Available,"35,780","35,791",0.01,1436.06,"3,500","1,800","4,800",9/4/1999,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
Amsat-Oscar 7 (AO-7),USA,AMSAT-NA,Civil,Communications,LEO,Polar,"1,440","1,459",101.4,114.9,29,0,0,11/15/1974,0,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.
ANGELS (Argos Neo on a Generic Economical and Light Satellite),ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,LEO,Sun-Synchronous,509,524,97.4,94.9,18,0,0,12/18/2019,0,CNES ,ESA,Guiana Space Center,Soyuz,2019-092D,44876,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. "
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,Not Available,"35,777","35,794",0.01,1436.08,"2,894","1,730","6,800 (EOL)",9/26/1999,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
Telstar 12 (Orion 2),Multinational,EUTELSAT S.A. -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,GEO,Not Available,"35,773","35,799",0.05,1436.09,"3,878","1,900","10,600",10/19/1999,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,1999-059A,25949,"Voice and video communications to the Americas, Europe, and Africa"
"AMC-4 (Americom-4, GE-4)",USA,SES S.A./Gogo,Commercial,Communications,GEO,Not Available,"35,781","35,791",0.01,1436.1,"3,909","2,500",0,11/13/1999,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,US Navy,Military,Communications,GEO,Not Available,"35,738","35,834",1.97,1436.1,"3,200","1,540","3,800 (EOL)",11/24/1999,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1999-063A,25967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.
