Satellite_Names,Country_of_Operator_Owner,Operator_Owner,Users_Names,Purpose,Orbit_Classes,Orbit_Types,Perigee_km,Apogee_km,Inclination_degrees,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Power_watts,Launch_Date,Expected_Lifetime_years,Contractors_Names,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments
Iridium Next SV 126,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,606,623,86.6,97,860,678,50,6/25/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039G,42809,Next generation expected to last to 2030
Iridium Next SV 127,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,611,626,86.6,97,860,678,50,10/9/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-061B,42956,Next generation expected to last to 2030
Iridium Next SV 128,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,625,86.6,97,860,678,50,6/25/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-039J,42811,Next generation expected to last to 2030
Iridium Next SV 129,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,611,626,86.6,97,860,678,50,10/9/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-061D,42958,Next generation expected to last to 2030
Iridium Next SV 130,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,611,626,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083D,43073,Not Available
Iridium Next SV 131,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,611,626,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083K,43079,Not Available
Iridium Next SV 132,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,609,626,86.6,97,860,678,50,10/9/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-061G,42961,Next generation expected to last to 2030
Iridium Next SV 133,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,622,635,86.6,97.2,860,678,50,10/9/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-061A,42955,Next generation expected to last to 2030
Iridium Next SV 134,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,610,626,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083F,43075,Not Available
Iridium Next SV 135,USA,"Iridium Communications, Inc.",Government/Commercial,Communications,LEO,Polar,610,626,86.7,97,860,678,50,12/23/2017,15,Thales Alenia Space/Orbital ATK,France/Italy/USA,Vandenberg AFB,Falcon 9,2017-083A,43070,Not Available
