Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
637,Nimiq 4,2008-09-19,Canada,Baikonur Cosmodrome,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,23.94,1436.1,"4,850"
638,EgyptSat-A ,2019-02-21,Egypt,Baikonur Cosmodrome,National Authority for Remote Sensing and Space Science (NARSS),Earth Observation,LEO,1.63,98.0,"2,200"
639,"EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L)",2015-11-17,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,Elliptical,11.92,715.0,0
640,"EKS-2 (Integrated Space System, Cosmos 2518, Tundra 12L)",2017-05-25,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,Elliptical,11.9,713.8,0
641,"EKS-3 (Integrated Space System, Cosmos 2541, Tundra 13L) ",2019-09-26,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,Elliptical,11.96,717.7,0
642,El Camino Real (Momentus X1),2019-07-05,USA,Vostochny Cosmodrome,Momentus,Technology Development,LEO,1.59,95.2,20
643,Galaxy-19,2008-09-24,USA,Sea Launch Odyssey,Intelsat S.A.,Communications,GEO,23.94,1436.1,"4,690"
644,Astra 1M,2008-11-05,Luxembourg,Baikonur Cosmodrome,SES S.A.,Communications,GEO,23.97,1438.2,"5,345"
645,Ciel-2,2008-12-10,Canada,Baikonur Cosmodrome,Ciel Satellite Group,Communications,GEO,23.93,1436.05,"5,585"
646,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",2008-12-20,Multinational,Guiana Space Center,EUTELSAT S.A.,Communications,GEO,23.93,1436.08,"3,460"
647,Eutelsat Hot Bird 13C (Hot Bird 9),2008-12-20,Multinational,Guiana Space Center,EUTELSAT S.A.,Communications,GEO,23.93,1436.09,"4,880"
648,ELISA-E12 (ELectronic Intelligence by SAtellite),2011-12-17,France,Guiana Space Center,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,1.64,98.43,120
649,ELISA-E24 (ELectronic Intelligence by SAtellite),2011-12-17,France,Guiana Space Center,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,1.64,98.43,120
650,ELISA-W11 (ELectronic Intelligence by SAtellite),2011-12-17,France,Guiana Space Center,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,1.64,98.45,120
651,ELISA-W23 (ELectronic Intelligence by SAtellite),2011-12-17,France,Guiana Space Center,DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),Earth Observation,LEO,1.64,98.46,120
652,EMISat (Electromagnetic Intelligence-gathering Satellite),2019-04-01,India,Satish Dhawan Space Centre,Defence Research and Development Organization,Earth Observation,LEO,1.66,99.75,436
653,"EMKA-1 (Cosmos  2525, Experimental  Spacecraft)",2018-03-29,Russia,Plesetsk Cosmodrome,Ministry of Defense,Earth Observation,LEO,1.51,90.8,300
654,EOS-AM Terra ,1999-12-18,USA/Canada/Japan,Vandenberg AFB,Earth Sciences Enterprise (NASA),Earth Observation,LEO,1.65,98.8,"4,854"
655,EOS-CHEM Aura ,2004-07-15,USA,Vandenberg AFB,Goddard Space Flight Center/EOS Data and Operations System,Earth Observation,LEO,1.65,98.8,"2,967"
656,"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",2002-05-04,USA/Japan/Brazil,Vandenberg AFB,National Aeronautics and Space Administration (NASA) - Earth Science Enterprise/Japan Meteorological Agency/Brazilian Space Agency,Earth Observation,LEO,1.65,98.8,"2,934"
657,EquiSat,2018-07-13,USA,International Space Station,Brown University,Technology Development,LEO,1.54,92.6,2
658,"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",2009-01-18,USA,Cape Canaveral,National Reconnaissance Office (NRO),Earth Observation,GEO,23.98,1438.8,"5,000"
659,EROS B1 (Earth Resources Observation Satellite),2006-04-25,Israel,Svobodny Cosmodrome,"ImageSat International, NV/Ministry of Defense",Earth Observation,LEO,1.58,94.8,350
660,ESEO (European Student Earth Orbiter),2018-12-03,ESA,Vandenberg AFB,European University Network,Earth Observation/Earth Science,LEO,1.6,96.3,45
661,"Eutelsat 33E (Hot Bird  13D, Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",2009-02-11,Multinational,Guiana Space Center,EUTELSAT S.A.,Communications,GEO,23.93,1436.07,"4,892"
662,Express-AM44,2009-02-11,Russia,Baikonur Cosmodrome,International Organization of Space Communications (Intersputnik),Communications,GEO,24.11,1446.57,"2,532"
663,NSS-9,2009-02-11,Netherlands,Guiana Space Center,SES S.A.,Communications,GEO,23.94,1436.17,"2,238"
664,SPIRALE-A (Système Préparatoire Infra-Rouge pour l'Alerte),2009-02-11,France,Guiana Space Center,Ministry of Defense/General Delegation for Ordnance (DGA),Technology Development,Elliptical,9.12,547.0,117
665,ETRSS-1,2019-12-20,Ethiopia,Taiyuan Launch Center,Ethiopian Space Science and Technology Institute,Earth Observation,LEO,1.62,97.1,70
666,Eu:CROPIS (Euglena and Combined Regenerative Organic-Food Production in Space),2018-12-03,Germany,Vandenberg AFB,German Aerospace Center (DLR),Technology Development,LEO,1.6,96.3,230
667,SPIRALE-B (Système Préparatoire Infra-Rouge pour l'Alerte),2009-02-11,France,Guiana Space Center,Ministry of Defense/General Delegation for Ordnance (DGA),Technology Development,Elliptical,5.23,314.0,117
668,Telstar 11N,2009-02-26,Canada,Sea Launch Odyssey,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,23.94,1436.13,"4,010"
669,Eutelsat 10A (Eutelsat W-2A),2009-04-03,Multinational,Baikonur Cosmodrome,EUTELSAT S.A.,Communications,GEO,23.93,1436.09,"5,900"
670,"Wideband Global Satcom 2 (WGS-2, USA 204)",2009-04-04,USA,Cape Canaveral,Military Satellite Communications - US Air Force,Communications,GEO,23.94,1436.12,"5,987"
671,Sicral 1B,2009-04-20,Italy,Sea Launch Odyssey,Italian Defense Ministry/Telespazio,Communications,GEO,23.94,1436.52,"3,038"
672,"SES-7 (Protostar 2, Indostar 2)",2009-05-16,Luxembourg,Baikonur Cosmodrome,SES S.A.,Communications,GEO,23.94,1436.1,"4,007"
673,Measat 3A (Malaysia East Asia Sat 3A),2009-06-21,Malaysia,Baikonur Cosmodrome,MEASAT Satellite Systems Sdn. Bhd.,Communications,GEO,23.91,1434.6,"2,417"
674,"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",2009-06-27,USA,Cape Canaveral,NOAA (National Oceanographic and Atmospheric Administration),Earth Observation,GEO,23.93,1436.0,"3,200"
675,Sirius FM-5,2009-06-30,USA,Baikonur Cosmodrome,Sirius XM Holdings,Communications,GEO,23.93,1436.0,"5,800"
676,TerraStar 1,2009-07-01,USA,Guiana Space Center,TerraStar Corporation,Communications,GEO,23.94,1436.11,"6,910"
677,AsiaSat-5,2009-08-11,China,Baikonur Cosmodrome,Asia Satellite Telecommunications Co. Ltd.,Communications,GEO,23.94,1436.11,"3,760"
678,"JCSat RA (JCSat 12, Japan Communications Satellite 12)",2009-08-21,Japan,Guiana Space Center,Sky Perfect JSAT Corporation,Communications,GEO,23.94,1436.12,"4,000"
679,Optus D3,2009-08-21,Australia,Guiana Space Center,Optus Communications (Parent: Singapore Telecom),Communications,GEO,23.93,1436.04,"2,501"
680,Palapa D1,2009-08-31,Indonesia,Xichang Satellite Launch Center,PT Indosat,Communications,GEO,23.93,1436.09,"4,100"
681,"PAN-1 (Nemesis, Palladium at Night, P360, USA 207)",2009-09-08,USA,Cape Canaveral,Unknown US intelligence agency,Earth Observation,GEO,23.94,1436.12,0
682,Nimiq 5,2009-09-17,Canada,Baikonur Cosmodrome,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Communications,GEO,23.94,1436.1,"4,745"
683,Amazonas-2,2009-10-01,Spain,Guiana Space Center,Hispamar (subsidiary of Hispasat - Spain),Communications,GEO,23.93,1436.08,"5,465"
684,COMSATBw-1 (COmmunications SATellite für BundesWehr),2009-10-01,Germany,Guiana Space Center,Armed Forces,Communications,GEO,23.94,1436.1,"2,440"
685,NSS-12,2009-10-29,Netherlands,Guiana Space Center,SES S.A.,Communications,GEO,23.93,1436.08,0
686,Thor-6,2009-10-29,Norway,Guiana Space Center,Telenor Satellite Broadcasting,Communications,GEO,23.94,1436.1,"3,050"
687,Intelsat 14 (IS-14),2009-11-23,USA,Cape Canaveral,Intelsat S.A.,Communications,GEO,23.93,1436.05,"5,613"
688,Eutelsat 36B (Eutelsat W-7),2009-11-24,Multinational,Baikonur Cosmodrome,EUTELSAT S.A.,Communications,GEO,23.93,1436.09,"5,600"
689,"Intelsat 15 (IS-15, JCSat 85)",2009-11-30,USA,Baikonur Cosmodrome,Intelsat S.A./Sky Perfect JSAT Corp.,Communications,GEO,23.94,1436.12,"2,550"
690,"Wideband Global Satcom 3 (WGS-3, USA 211)",2009-12-06,USA,Cape Canaveral,Military Satellite Communications - US Air Force,Communications,GEO,23.94,1436.1,"5,990"
691,DirecTV-12,2009-12-29,USA,Baikonur Cosmodrome,"DirecTV, Inc.",Communications,GEO,23.93,1436.04,"5,900"
692,Beidou G1 (Compass G-1),2010-01-16,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,23.93,1436.05,"2,200"
693,Raduga 1-M2 (Raduga 1-9),2010-01-28,Russia,Baikonur Cosmodrome,Ministry of Defense,Communications,GEO,23.93,1436.06,"2,500"
694,SDO (Solar Dynamics Observatory),2010-02-11,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA),Space Science,GEO,23.93,1436.03,"3,100"
695,Intelsat 16 (IS-16),2010-02-12,USA,Baikonur Cosmodrome,Intelsat S.A.,Communications,GEO,23.94,1436.19,"2,450"
696,"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",2010-03-04,USA,Cape Canaveral,NOAA (National Oceanographic and Atmospheric Administration),Earth Observation,GEO,23.94,1436.14,"3,175"
697,exactView 1,2012-07-22,Canada,Baikonur Cosmodrome,exactEarth,Communications,LEO,1.69,101.2,100
698,exactView 6 (AprizeSat 6),2011-08-17,Canada,Dombarovsky Air Base,exactEarth,Communications,LEO,1.63,98.0,12
699,exactView 9,2015-09-28,Canada,Satish Dhawan Space Centre,exactEarth,Communications,LEO,1.62,97.5,6
700,eXCITE (eXperiment for Cellular Integration Technology),2018-12-03,USA,Vandenberg AFB,Defense Advanced Research Projects Agency (DARPA),Technology Development,LEO,1.6,96.3,155
701,Exoconnect (D-Star One),2019-07-05,Germany,Vostochny Cosmodrome,German Orbital Systems ,Technology Development,LEO,1.59,95.2,1
702,Echostar 14,2010-03-20,USA,Baikonur Cosmodrome,"Echostar Satellite Services, LLC",Communications,GEO,23.94,1436.11,"6,384"
703,SES-1 (AMC-4R),2010-04-24,Luxembourg,Baikonur Cosmodrome,SES S.A.,Communications,GEO,23.94,1436.1,0
704,Astra 3B,2010-05-21,Luxembourg,Guiana Space Center,SES S.A.,Communications,GEO,23.94,1436.11,"5,471"
705,COMSATBw-2 (COmmunications SATellite für BundesWehr),2010-05-21,Germany,Guiana Space Center,Armed Forces,Communications,GEO,23.94,1436.11,"2,440"
706,Badr 5 (Arabsat 5B),2010-06-03,Multinational,Baikonur Cosmodrome,Arab Satellite Communications Org. (ASCO),Communications,GEO,24.0,1439.76,"5,420"
707,Badr 5A (Arabsat 5A),2010-06-26,Multinational,Guiana Space Center,Arab Satellite Communications Org. (ASCO),Communications,GEO,23.79,1427.27,"4,940"
708,"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",2010-06-26,South Korea,Guiana Space Center,Korea Aerospace Research Institute (KARI),Earth Observation/Communications,GEO,23.94,1436.1,"2,460"
709,Echostar 15,2010-07-10,USA,Baikonur Cosmodrome,"Echostar Satellite Services, LLC",Communications,GEO,23.94,1436.57,"5,521"
710,Beidou IGSO-1 (Compass G-5),2010-07-31,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,23.93,1435.82,"4,200"
711,Nilesat 201,2010-08-04,Egypt,Guiana Space Center,Egyptian Radio and TV Union ,Communications,GEO,23.94,1436.23,"3,200"
712,"ExSeedSat-1 (Vusat Oscar 96, VO96)",2018-12-03,India,Vandenberg AFB,Exseed Space,Communications,LEO,1.6,96.3,4
713,Eyesat,2019-12-18,ESA,Guiana Space Center,CNES (Centre national d'études spatiales),Space Science,LEO,1.58,94.9,5
714,FACSAT-1 ,2018-11-29,Colombia,Satish Dhawan Space Centre,Colombian Air Force,Earth Observation,LEO,1.58,95.0,5
715,Falconsat-3,2007-03-09,USA,Cape Canaveral,US Air Force Academy,Technology Development,LEO,1.59,95.4,46
716,Falconsat-6,2018-12-03,USA,Vandenberg AFB,US Air Force Academy,Technology Development,LEO,1.6,96.3,181
717,Rascom-QAF 1R,2010-08-04,Multinational,Guiana Space Center,Regional African Satellite Communications Organization (RASCOM),Communications,GEO,23.94,1436.1,"3,050"
718,"FAST 1 (Sara Lilly and Emma, USA 222)",2010-11-20,USA,Kodiak Launch Complex,University of Texas - Austin,Technology Development,LEO,1.63,97.54,55
719,Fengmaniu-1 (FMN-1),2018-02-02,China,Jiuquan Satellite Launch Center,Link Space Aerospace Technology,Technology Development,LEO,1.57,94.0,3
720,Fengniao 1A (Hummingbird 1A),2012-11-20,China,Taiyuan Launch Center,China Academy of Space Technology (CAST),Technology Development,LEO,1.57,94.49,160
721,"Sinosat-6 (Chinasat-6A, XN-6)",2010-09-04,China,Xichang Satellite Launch Center,China Satellite Communication Corp. (China Satcom),Communications,GEO,23.94,1436.1,"5,000"
722,"QZS-1 (Quazi-Zenith Satellite System, Michibiki-1)",2010-09-11,Japan,Tanegashima Space Center,Japan Aerospace Exploration Agency (JAXA),Navigation/Regional Positioning,GEO,23.93,1436.0,"4,000"
723,Sirius XM-5,2010-10-14,USA,Baikonur Cosmodrome,Sirius XM Holdings,Communications,GEO,23.94,1436.12,"5,983"
724,Fengyun 3B (FY-3B),2010-11-04,China,Taiyuan Launch Center,China Meteorological Administration,Earth Observation,LEO,1.69,101.5,"2,300"
725,Fengyun 3C (FY-3C),2013-09-23,China,Taiyuan Launch Center,China Meteorological Administration,Earth Observation,LEO,1.69,101.45,"2,300"
726,Fengyun 3D (FY-3D),2017-11-14,China,Taiyuan Launch Center,China Meteorological Administration,Earth Observation,LEO,1.68,101.1,"2,300"
727,BSAT-3B,2010-10-28,Japan,Guiana Space Center,Broadcasting Satellite System Corp.,Communications,GEO,22.76,1365.61,"2,060"
728,Fermi Gamma-Ray Space Telescope (formerly GLAST),2008-06-11,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA)/GSFC,Space Science,LEO,1.59,95.6,"4,303"
729,"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",2010-09-21,USA,Vandenberg AFB,National Reconnaissance Office (NRO),Earth Observation,LEO,1.79,107.35,0
730,"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",2012-04-03,USA,Vandenberg AFB,National Reconnaissance Office (NRO),Earth Observation,LEO,1.78,107.0,0
731,"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",2013-12-06,USA,Vandenberg AFB,National Reconnaissance Office (NRO),Earth Observation,LEO,1.78,106.7,0
732,"FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4, NROL-45, USA 267, Topaz)",2016-02-10,USA,Vandenberg AFB,National Reconnaissance Office (NRO),Earth Observation,LEO,1.78,106.7,0
733,"FIA Radar 5 (Future Imagery Architecture (FIA) Radar 5, NROL-47, USA 281, Topaz)",2018-01-12,USA,Vandenberg AFB,National Reconnaissance Office (NRO),Earth Observation,LEO,1.77,106.2,0
734,"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",2015-01-31,USA,Vandenberg AFB,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,LEO,1.6,95.7,2
735,"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",2015-01-31,USA,Vandenberg AFB,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",Space Science,LEO,1.63,97.7,2
736,FloripaSat-1,2019-12-20,Brazil,Taiyuan Launch Center,Federal University of Santa Catarina,Educational,LEO,1.62,97.1,1
737,FLP (Flying Laptop),2017-07-14,Germany,Baikonur Cosmodrome,University of Stuttgart,Earth Observation/Space Science,LEO,1.61,96.6,120
738,Beidou G4 (Compass G-4),2010-10-31,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,23.94,1436.1,"6,000"
739,FormoSat-5,2017-08-25,Taiwan,Vandenberg AFB,National Space Organization,Earth Observation,LEO,1.65,99.1,525
740,FORTÉ (Fast On-orbit Recording of Transient Events),1997-08-29,USA,Vandenberg AFB,Los Alamos National Laboratory,Earth Observation,LEO,1.68,101.0,215
741,Fossasat-1,2019-12-06,Spain,Rocket Lab Launch Complex 1,Fossa Systems,Technology Development,LEO,1.53,92.0,1
742,Fox-1A (AO-85),2015-10-08,USA,Cape Canaveral,AMSAT-NA,Communications/Technology Development,LEO,1.63,97.7,1
743,Fox-1Cliff (AO 95),2018-12-03,USA,Vandenberg AFB,AMSAT-NA,Communications,LEO,1.6,96.3,2
744,Fox-1D (AO-92),2018-01-11,USA,Satish Dhawan Space Centre,AMSAT-NA/University of Iowa/Penn State Erie/Virginia Tech,Communications/Technology Development,LEO,1.58,94.6,2
745,FUNCube-1 (AO-73),2013-11-21,Netherlands,Dombarovsky Air Base,AMSAT-UK,Communications,LEO,1.62,97.4,1
746,SkyTerra 1,2010-11-14,USA,Baikonur Cosmodrome,LightSquared,Communications,GEO,23.93,1436.09,"5,360"
747,"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",2010-11-21,USA,Cape Canaveral,National Reconnaissance Office (NRO),Earth Observation,GEO,23.93,1436.0,"5,000"
748,Zhongxing 20A ,2010-11-24,China,Xichang Satellite Launch Center,People's Liberation Army (C41),Communications,GEO,23.93,1436.05,"2,300"
749,HYLAS 1 (Highly Adaptable Satellite),2010-11-26,United Kingdom,Guiana Space Center,"Avanti Communications, PLC",Communications,GEO,23.93,1436.07,"2,242"
750,Intelsat 17 (IS-17),2010-11-26,USA,Guiana Space Center,Intelsat S.A.,Communications,GEO,23.94,1436.12,"5,540"
751,Beidou IGSO-2 (Compass G-7),2010-12-17,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,23.94,1436.12,"4,200"
752,Eutelsat KA-SAT 9A (KA-SAT),2010-12-26,Multinational,Baikonur Cosmodrome,EUTELSAT S.A.,Communications,GEO,23.93,1436.01,"6,150"
753,Hispasat 1E,2010-12-29,Spain,Guiana Space Center,Hispasat,Communications,GEO,23.93,1435.95,"5,320"
754,Koreasat 6 (Mugungwha 6),2010-12-29,South Korea,Guiana Space Center,KT Corporation,Communications,GEO,23.94,1436.12,"2,850"
755,Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2],2011-01-20,Russia,Baikonur Cosmodrome,Roshydromet - Planeta,Earth Observation,GEO,23.72,1423.35,"1,766"
756,"SDS III-6 (Satellite Data System) NRO L-27, USA 227, Quasar)",2011-03-02,USA,Cape Canaveral,National Reconnaissance Office (NRO)/US Air Force,Communications,GEO,23.94,1436.1,0
757,Beidou IGSO-3 (Compass G-8),2011-04-09,China,Xichang Satellite Launch Center,Chinese Defense Ministry,Navigation/Global Positioning,GEO,23.93,1435.93,"4,200"
758,"Galileo FOC FM1 (0201, Galileo 5, PRN E18)",2014-08-22,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,Elliptical,12.94,776.25,733
759,"Galileo FOC FM10 (0210, Galileo 13, PRN E01)",2016-05-24,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.12,847.01,723
760,"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",2016-05-24,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.28,856.9,723
761,"Galileo FOC FM12 (0212, Galileo 16)",2016-11-17,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.1,846.0,723
762,"Galileo FOC FM13 (0213, Galileo 17)",2016-11-17,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,13.9,834.0,723
763,"Galileo FOC FM14 (0214, Galileo 18)",2016-11-17,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.12,847.0,723
764,"Galileo FOC FM15 (0215, Galileo 19)",2017-12-13,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.04,842.6,715
765,"Galileo FOC FM16 (0216, Galileo 20)",2017-12-13,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,13.86,831.6,715
766,"Galileo FOC FM17 (0217, Galileo 21)",2017-12-13,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,13.86,831.4,715
767,"Galileo FOC FM18 (0218, Galileo 22)",2017-12-13,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,13.85,830.9,715
768,"Galileo FOC FM19 (0219, Galileo 23)",2018-07-25,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.0,840.2,715
769,"Galileo FOC FM2 (0202, Galileo 6, PRN E14)",2014-08-22,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,Elliptical,11.75,705.11,733
770,"Galileo FOC FM20 (0220, Galileo 24)",2018-07-25,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,13.85,831.2,715
771,"Galileo FOC FM21 (0221, Galileo 25)",2018-07-25,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,13.9,834.2,715
772,"Galileo FOC FM22 (0222, Galileo 26)",2018-07-25,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,13.94,836.6,715
773,"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",2015-03-27,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.31,858.55,723
774,"Galileo FOC FM4 (0204, Galileo 8, PRN E22)",2015-03-27,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.18,850.5,723
775,"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",2015-09-11,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.08,845.0,723
776,"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",2015-09-11,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.07,844.0,723
777,"Galileo FOC FM7 (0207, Galileo 15)",2016-11-17,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.12,847.0,723
778,"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",2015-12-17,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.34,860.51,723
779,"Galileo FOC FM9 (0209, Galileo 12, E09)",2015-12-17,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.31,858.34,723
780,"Galileo IOV-1 FM2 (0102, PRN E12)",2011-10-21,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.12,846.98,700
781,"Galileo IOV-1 PFM (0101, PRN E11)",2011-10-21,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.11,846.88,700
782,"Galileo IOV-2 FM3 (0103, PRN E19)",2012-10-12,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.08,844.76,700
783,"Galileo IOV-2 FM4 (0104, PRN E20)",2012-10-12,ESA,Guiana Space Center,European Space Agency (ESA),Navigation/Global Positioning,MEO,14.08,844.69,700
784,Gaofen 1,2013-04-26,China,Jiuquan Satellite Launch Center,China National Academy of Sciences (CNSAS),Earth Observation,LEO,1.63,97.56,"1,000"
785,Gaofen 10,2019-10-04,China,Taiyuan Launch Center,China National Academy of Sciences (CNSAS),Earth Observation,LEO,1.62,97.03,"1,000"
786,Intelsat New Dawn (Intelsat 28),2011-04-22,USA,Guiana Space Center,Intelsat S.A.,Communications,GEO,23.99,1439.15,"3,000"
787,Gaofen 12,2019-11-28,China,Taiyuan Launch Center,China National Academy of Sciences (CNSAS),Earth Observation,LEO,1.62,96.9,"1,000"
788,Gaofen 2,2014-08-19,China,Taiyuan Launch Center,China National Academy of Sciences (CNSAS),Earth Observation,LEO,1.62,97.06,"1,000"
789,Gaofen 3 ,2016-08-09,China,Taiyuan Launch Center,State Oceanic Administration (SOA),Earth Observation,LEO,1.66,99.8,"1,000"
790,Yahsat-1A (Y1A),2011-04-22,United Arab Emirates,Guiana Space Center,Al Yah Satellite Communications Co. (YAHSAT),Communications,GEO,23.93,1435.92,"5,953"
791,Gaofen 7,2019-11-03,China,Taiyuan Launch Center,Ministry of Natural Resources/Ministry of Housing and Urban-Rural Development/National Bureau of Statistics,Earth Observation,LEO,1.58,94.5,9
792,Gaofen 8,2015-06-26,China,Taiyuan Launch Center,People's Liberation Army (C41),Earth Observation,LEO,1.57,94.36,"1,000"
793,Gaofen 9,2015-09-14,China,Jiuquan Satellite Launch Center,China National Academy of Sciences (CNSAS),Earth Observation,LEO,1.63,97.54,"1,000"
794,Gaofen-1-02,2018-03-30,China,Taiyuan Launch Center,"Chinas Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Earth Observation,LEO,1.62,97.5,805
795,Gaofen-1-03,2018-03-30,China,Taiyuan Launch Center,"Chinas Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Earth Observation,LEO,1.62,97.5,805
796,Gaofen-1-04,2018-03-30,China,Taiyuan Launch Center,"Chinas Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Earth Observation,LEO,1.62,97.5,805
797,Gaofen-1-05,2018-05-08,China,Taiyuan Launch Center,"Chinas Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Earth Observation,LEO,1.64,98.4,805
798,Gaofen-1-06,2018-06-03,China,Jiuquan Satellite Launch Center,"Chinas Ministry of Land and Resources, Ministry of Environmental Protection, and Ministry of Agriculture",Earth Observation,LEO,1.62,97.3,"1,064"
799,"SBIRS GEO 1 (Space Based Infrared System Geosynchronous 1, USA 230)",2011-05-07,USA,Cape Canaveral,US Air Force,Earth Observation,GEO,23.94,1436.11,"4,500"
800,GSAT-8,2011-05-20,India,Guiana Space Center,Indian Space Research Organization (ISRO),Communications/Navigation,GEO,23.94,1436.23,"3,093"
801,GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),2013-11-21,Denmark,Dombarovsky Air Base,GomSpace ApS,Technology Development,LEO,1.65,98.9,5
802,"GCOM-C (Global Change Observation Mission Climate, Shikisai)",2017-12-22,Japan,Tanegashima Space Center,Japan Aerospace Exploration Agency (JAXA),Earth Observation,LEO,1.68,100.69,"2,200"
803,GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),2015-05-20,USA,Cape Canaveral,NearSpace Launch/Air Force Research Laboratory,Technology Development,LEO,1.58,95.0,10
804,Genesis-1,2006-07-12,USA,Dombarovsky Air Base,Bigelow Aerospace,Technology Development,LEO,1.59,95.6,"1,360"
