Orig_Sequence,Satellite_Names,Launch_Date,Country_of_Operator_Owner,Launch_Site,Operator_Owner,Purpose,Orbit_Classes,Period_Hours,Period_minutes,Launch_Mass_km
254,Badr 4 (Arabsat 4B),2006-11-08,Multinational,Baikonur Cosmodrome,Arab Satellite Communications Org. (ASCO),Communications,GEO,23.93,1436.06,"3,304"
255,CBERS 4 (China-Brazil Earth Resources Satellite 4),2014-12-07,China/Brazil,Taiyuan Launch Center,China National Space Administration (China)/National Institute for Space Research (Brazil),Earth Observation,LEO,1.66,99.67,"1,980"
256,CBERS 4A (China-Brazil Earth Resources Satellite 4A),2019-12-21,China/Brazil,Taiyuan Launch Center,China National Space Administration (CNSA)/National Institute for Space Research (Brazil),Earth Observation ,LEO,1.62,97.2,"1,980"
257,CBNT-1 (Carbonite 1),2015-07-10,United Kingdom,Satish Dhawan Space Centre,Surrey Satellite Technology Ltd.,Technology Development,LEO,1.63,97.66,91
258,CBNT-2 (Carbonite 2),2018-01-11,United Kingdom,Satish Dhawan Space Centre,Earthi/Surrey Satellite Technology Ltd.,Technology Development,LEO,1.58,94.5,0
259,CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),2016-11-11,USA,Vandenberg AFB,Air Force Research Laboratory,Technology Development,LEO,1.6,96.29,3
260,Centauri-1,2018-11-29,Australia,Satish Dhawan Space Centre,Fleet Space Technologies,Communications,LEO,1.58,95.0,4
261,Centauri-2,2018-12-03,Australia,Vandenberg AFB,Fleet Space Technologies,Technology Development,LEO,1.6,96.3,4
262,Centispace-1-S1,2018-09-29,China,Jiuquan Satellite Launch Center,Beijing Future Navigation Technology Co. Ltd.,Technology Development,LEO,1.65,98.8,100
263,CeReS (Compact Radiation belt Explorer),2018-12-16,USA,Rocket Lab Launch Complex 1,NASA Goddard Space Flight Center,Space Science,LEO,1.58,94.6,4
264,CE-SAT-1 (Canon Electric Satellite 1),2017-06-22,Japan,Satish Dhawan Space Centre,Canon Electronics ,Technology Development,LEO,1.58,94.76,3
265,CFESat (Cibola Flight Experiment Satellite),2007-03-09,USA,Cape Canaveral,Los Alamos National Laboratory,Technology Development,LEO,1.59,95.5,159
266,CFOSat (China-France Oceanography Satellite),2018-10-28,China/France,Jiuquan Satellite Launch Center,China National Space Administration (CNSA)/National Centre for Space Studies (CNES),Earth Observation,LEO,1.58,95.0,700
267,Chandra X-Ray Observatory (CXO),1999-07-23,USA,Cape Canaveral,National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,Space Science,Elliptical,63.48,3808.92,"4,742"
268,Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),2016-12-21,China,Jiuquan Satellite Launch Center,Shanghai Engineering Center for Microsatellites,Earth Observation ,LEO,1.65,98.87,50
269,CHEOPS (CHaracterising ExOPlanet Satellite),2019-12-18,ESA,Guiana Space Center,European Space Agency,Space Science,LEO,1.65,98.8,273
270,CHOMPTT (CubeSat Handling Of Multisystem Precision Time Transfer),2018-12-16,USA,Rocket Lab Launch Complex 1,University of Florida,Technology Development,LEO,1.58,94.6,4
271,"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",2003-10-21,China,Taiyuan Launch Center,Chinese Academy of Sciences,Communications,LEO,1.66,99.6,100
272,Chuangxin 1-2 (Innovation 1-2),2008-11-05,China,Jiuquan Satellite Launch Center,Chinese Academy of Sciences,Earth Observation,LEO,1.64,98.5,101
273,Chuangxin 1-3 (Innovation 1-3),2011-11-20,China,Jiuquan Satellite Launch Center,Chinese Academy of Sciences,Earth Observation,LEO,1.68,100.7,100
274,Chuangxin 1-4 (Innovation 1-4),2014-09-04,China,Jiuquan Satellite Launch Center,Chinese Academy of Sciences,Earth Observation,LEO,1.68,100.74,100
275,Chuangxin-3,2013-07-19,China,Taiyuan Launch Center,Chinese Academy of Sciences,Technology Development,LEO,1.61,96.43,200
276,ChubuSat 1 (Kinshachi-1),2014-11-06,Japan,Dombarovsky Air Base,Nagoya University and Daido University,Technology Development,LEO,1.58,95.07,50
277,AMC-18 (Americom 18),2006-12-08,USA,Guiana Space Center,SES S.A.,Communications,GEO,23.94,1436.1,"2,081"
