Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
EgyptSat-A ,2/21/2019,Egypt,Earth Observation,LEO,Sun-Synchronous,98,"2,200",0,11,Russia,Baikonur Cosmodrome,Soyuz,2019-008A,44047,Electro-optical imaging system includes an Earth-viewing telescope and camera that can spot surface features as small as 3.3 feet (1 meter),,
"EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L)",11/17/2015,Russia,Earth Observation,Elliptical,Molniya,715,0,0,0,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032,Replaces the US-OKO early warning system.,,
"EKS-2 (Integrated Space System, Cosmos 2518, Tundra 12L)",5/25/2017,Russia,Earth Observation,Elliptical,Molniya,713.8,0,0,0,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-027A,42719,Second in the EKS series.,,
"EKS-3 (Integrated Space System, Cosmos 2541, Tundra 13L) ",9/26/2019,Russia,Earth Observation,Elliptical,Molniya,717.7,0,0,0,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2019-065A,44552,Third in the EKS series.,,
El Camino Real (Momentus X1),7/5/2019,USA,Technology Development,LEO,Sun-Synchronous,95.2,20,0,0,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038Y,44408,Development of a space tug with water propulsion system.,,
Galaxy-19,9/24/2008,USA,Communications,GEO,Not Available,1436.1,"4,690",0,15,USA,Sea Launch Odyssey,Zenit 3SL,2008-045A,33376,"50-state coverage, in addition to reaching the Caribbean, Canada and Mexico, to video, government and network customers. ",,
Astra 1M,11/5/2008,Luxembourg,Communications,GEO,Not Available,1438.2,"5,345",0,15,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.,,
Ciel-2,12/10/2008,Canada,Communications,GEO,Not Available,1436.05,"5,585",0,15,France,Baikonur Cosmodrome,Proton M,2008-063A,33453,Digital television; 32 Ku-band transponders.,,
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",12/20/2008,Multinational,Communications,GEO,Not Available,1436.08,"3,460","1,555",15,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,,
Eutelsat Hot Bird 13C (Hot Bird 9),12/20/2008,Multinational,Communications,GEO,Not Available,1436.09,"4,880","2,338",15,France,Guiana Space Center,Ariane 5,2008-065A,33459,64 Ku-band transponders.,,
ELISA-E12 (ELectronic Intelligence by SAtellite),12/17/2011,France,Earth Observation,LEO,Sun-Synchronous,98.43,120,0,0,France,Guiana Space Center,Soyuz 2/Fregat,2011-076D,38010,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,
ELISA-E24 (ELectronic Intelligence by SAtellite),12/17/2011,France,Earth Observation,LEO,Sun-Synchronous,98.43,120,0,0,France,Guiana Space Center,Soyuz 2/Fregat,2011-076B,38008,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,
ELISA-W11 (ELectronic Intelligence by SAtellite),12/17/2011,France,Earth Observation,LEO,Sun-Synchronous,98.45,120,0,0,France,Guiana Space Center,Soyuz 2/Fregat,2011-076A,38007,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,
ELISA-W23 (ELectronic Intelligence by SAtellite),12/17/2011,France,Earth Observation,LEO,Sun-Synchronous,98.46,120,0,0,France,Guiana Space Center,Soyuz 2/Fregat,2011-076C,38009,In-orbit elint demonstration project. Will identify ground-based radars and other telecommunications sources; to be replaced by operational ELINT system by end of decade.,,
EMISat (Electromagnetic Intelligence-gathering Satellite),4/1/2019,India,Earth Observation,LEO,Sun-Synchronous,99.75,436,0,0,India,Satish Dhawan Space Centre,PSLV,2019-018A,44078,"Carries instrumentation to detect, locate and characterize electromagnetic signals, such as those transmitted by military radars.",,
"EMKA-1 (Cosmos  2525, Experimental  Spacecraft)",3/29/2018,Russia,Earth Observation,LEO,Polar,90.8,300,0,0,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2018-028A,43243,Thought to be high-resolution surveillance satellite.,,
EOS-AM Terra ,12/18/1999,USA/Canada/Japan,Earth Observation,LEO,Sun-Synchronous,98.8,"4,854",0,6,USA,Vandenberg AFB,Atlas 2AS,1999-068A,25994,Aathfinusrs for Earth Sciences Gnterprise's 190 Vanelliea LEO gonseallation.,,
EOS-CHEM Aura ,7/15/2004,USA,Earth Observation,LEO,Sun-Synchronous,98.8,"2,967",0,5,USA,Vandenberg AFB,Delta 2,2004-026A,28376,"Study Earth's ozone, air quality, and climate; extension of UARS and TOMS missions.",,
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",5/4/2002,USA/Japan/Brazil,Earth Observation,LEO,Sun-Synchronous,98.8,"2,934","2,832",6,USA/Japan/Brazil,Vandenberg AFB,Delta,2002-022A,27424,Six-year chronology of the planet and its hydrological processes.,,
EquiSat,7/13/2018,USA,Technology Development,LEO,Non-Polar Inclined,92.6,2,0,0,USA,International Space Station,Nanorack Deployer,1998-067PA,43552,EQUiSat tests a new battery technology called lithium iron phosphate (LiFePO4) for use in future NASA missions.,,
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",1/18/2009,USA,Earth Observation,GEO,Not Available,1438.8,"5,000",0,0,USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,,
EROS B1 (Earth Resources Observation Satellite),4/25/2006,Israel,Earth Observation,LEO,Sun-Synchronous,94.8,350,0,10,Israel,Svobodny Cosmodrome,Start 1,2006-014A,29079,"High resolution imaging satellite; obtain images (with resolution of 0.82 meters) of locations chosen by Israeli military or worldwide commercial clients; in Jan. 2001 Ministry of Defense bought rights to all imaging of Israel and territories within 2,000 km around Israel.",,
ESEO (European Student Earth Orbiter),12/3/2018,ESA,Earth Observation/Earth Science,LEO,Sun-Synchronous,96.3,45,0,0,Italy,Vandenberg AFB,Falcon 9,2018-099AL,43792,ESA-sponsored project with European network of universities. See sources.,,
"Eutelsat 33E (Hot Bird  13D, Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",2/11/2009,Multinational,Communications,GEO,Not Available,1436.07,"4,892","2,240",15,France,Guiana Space Center,Ariane 5 ECA,2009-008B,33750,64 Ku-band transponders.,,
Express-AM44,2/11/2009,Russia,Communications,GEO,Not Available,1446.57,"2,532",0,12,Russia/France,Baikonur Cosmodrome,Proton M,2009-007A,33595,"16 Ku-band; 10 C-band, 1 L-band transponder.",,
NSS-9,2/11/2009,Netherlands,Communications,GEO,Not Available,1436.17,"2,238","1,014",15,USA,Guiana Space Center,Ariane 5 ECA,2009-008A,33749,28 C-band transponders for voice and video communication.,,
SPIRALE-A (Système Préparatoire Infra-Rouge pour l'Alerte),2/11/2009,France,Technology Development,Elliptical,Not Available,547,117,0,0,France,Guiana Space Center,Ariane 5 ECA,2009-008C,33751,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,,
ETRSS-1,12/20/2019,Ethiopia,Earth Observation,LEO,Sun-Synchronous,97.1,70,0,0,China,Taiyuan Launch Center,Long March 4B,2019-093B,44880,Ethiopia's first satellite. Remote sensing.,,
Eu:CROPIS (Euglena and Combined Regenerative Organic-Food Production in Space),12/3/2018,Germany,Technology Development,LEO,Sun-Synchronous,96.3,230,0,0,Germany,Vandenberg AFB,Falcon 9,2018-099BB,43807,"Two greenhouses for experimental growth of food in space, or Mars/Moon.",,
SPIRALE-B (Système Préparatoire Infra-Rouge pour l'Alerte),2/11/2009,France,Technology Development,Elliptical,Not Available,314,117,0,0,France,Guiana Space Center,Ariane 5 ECA,2009-008D,33752,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,,
Telstar 11N,2/26/2009,Canada,Communications,GEO,Not Available,1436.13,"4,010",0,15,USA,Sea Launch Odyssey,Zenit 3SLB,2009-009A,34111,"39 Ku-band transponders; North America, Europe, Africa, across Atlantic.",,
Eutelsat 10A (Eutelsat W-2A),4/3/2009,Multinational,Communications,GEO,Not Available,1436.09,"5,900",0,15,France/Italy,Baikonur Cosmodrome,Proton M,2009-016A,34710,"46 Ku-band, 10 C-band transponders, S-band not in service due to anomaly.",,
"Wideband Global Satcom 2 (WGS-2, USA 204)",4/4/2009,USA,Communications,GEO,Not Available,1436.12,"5,987","3,450",14,USA,Cape Canaveral,Atlas 5,2009-017A,34713,X and Ka-band transponders. Will replace DSCS system.,,
Sicral 1B,4/20/2009,Italy,Communications,GEO,Not Available,1436.52,"3,038",0,12,Italy,Sea Launch Odyssey,Zenit 3SL,2009-020A,34810,One third paid for by Telespazio; will use some transponders for approved government customers.,,
"SES-7 (Protostar 2, Indostar 2)",5/16/2009,Luxembourg,Communications,GEO,Not Available,1436.1,"4,007",0,15,USA,Baikonur Cosmodrome,Breeze M,2009-027A,34941,"13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million.",,
Measat 3A (Malaysia East Asia Sat 3A),6/21/2009,Malaysia,Communications,GEO,Not Available,1434.6,"2,417",0,15,USA,Baikonur Cosmodrome,Zenit 3SLB,2009-032A,35362,"12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa.",,
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",6/27/2009,USA,Earth Observation,GEO,Not Available,1436,"3,200","1,533",10,USA,Cape Canaveral,Delta 4,2009-033A,35491,Spare.,,
Sirius FM-5,6/30/2009,USA,Communications,GEO,Not Available,1436,"5,800",0,15,USA,Baikonur Cosmodrome,Proton M,2009-034A,35493,First in geostationary orbit.,,
TerraStar 1,7/1/2009,USA,Communications,GEO,Not Available,1436.11,"6,910",0,15,USA,Guiana Space Center,Ariane 5 ECA,2009-035A,35496,Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets.,,
AsiaSat-5,8/11/2009,China,Communications,GEO,Not Available,1436.11,"3,760",0,15,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia.",,
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",8/21/2009,Japan,Communications,GEO,Not Available,1436.12,"4,000",0,15,USA,Guiana Space Center,Ariane 5,2009-044A,35755,Backup for other JCSATs.,,
Optus D3,8/21/2009,Australia,Communications,GEO,Not Available,1436.04,"2,501",0,15,USA,Guiana Space Center,Ariane 5,2009-044B,35756,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.,,
Palapa D1,8/31/2009,Indonesia,Communications,GEO,Not Available,1436.09,"4,100",0,15,France,Xichang Satellite Launch Center,Long March 3B,2009-046A,35812,"Third stage of rocket put it in a low transfer orbit, but was able to maneuver; reduced service life.",,
