Satellite_Names,Launch_Date,Country_of_Operator_Owner,Purpose,Orbit_Classes,Orbit_Types,Period_minutes,Launch_Mass_km,Dry_Mass_kg,Expected_Lifetime_years,Contractors_Country_Names,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Comments,names,count
1HOPSAT-TD (1st-generation High Optical Performance Satellite),12/11/2019,USA,Earth Observation,LEO,Non-Polar Inclined,96.08,22,0,0.5,USA,Satish Dhawan Space Centre,PSLV,2019-089H,44589,Pathfinder for planned earth observation constellation.,USA,1308
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",9/29/1988,USA,Communications,GEO,Not Available,1436.06,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,Backup; still partially operational.,China,356
FLTSATCOM-8 (USA 46),9/25/1989,USA,Communications,GEO,Not Available,"1,436.13","2,310","1,884",5,USA,Cape Canaveral,Atlas Centaur,1989-077A,20253,Old system replaced by UFO satellites; this satellite still operational as of 2009.,Russia,167
AAUSat-4,4/25/2016,Denmark,Earth Observation,LEO,Sun-Synchronous,95.9,1,0,0,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,United Kingdom,130
Skynet 4C ,8/30/1990,United Kingdom,Communications,GEO,Not Available,1436.07,"1,474",850,7,France/UK/Germany,Guiana Space Center,Ariane 44LP,1990-079A,20776,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 5 hrs of communication to the National Science Foundation each day.,Japan,78
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",8/2/1991,USA,Communications,GEO,Not Available,1436.99,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,Used by South Pole station.,Multinational,64
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",1/13/1993,USA,Communications,GEO,Not Available,1435.7,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.",India,58
"UFO-2 (USA 95) ""UHF Follow-On""",9/3/1993,USA,Communications,GEO,Not Available,1436.12,"3,200","1,545",0,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,ESA,53
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",2/7/1994,USA,Communications,GEO,Not Available,1436.13,"4,536",0,10,USA,Cape Canaveral,Titan 4A,1994-009A,22988,"Voice communication, data, imagery and video; survivable global military communication system. ""World's most secure, nuclear survivable, space-based communication system.""",Canada,39
"Mercury 1 (Advanced Vortex 1, USA 105)",8/27/1994,USA,Earth Observation,GEO,Not Available,1436.13,"8,000","4,000",0,USA,Cape Canaveral,Titan IVA,1994-054A,23223,In the $1 billion range; ELINT; signals intelligence.,Germany,37
Astra 1D ,11/1/1994,Luxembourg,Communications,GEO,Not Available,1436.08,"2,924","1,700",15,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.,Luxembourg,32
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",1/29/1995,USA,Communications,GEO,Not Available,1435.22,"3,200","1,545",4,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,Spain,21
"MSAT 2 (AMSC-1, ACTel-1)",4/7/1995,USA/Canada,Communications,GEO,Not Available,1436.09,"2,850","1,330",10,USA,Cape Canaveral,Atlas 2A,1995-019A,23553,Wireless network for North America,South Korea,16
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",7/13/1995,USA,Communications,GEO,Not Available,1436.04,"3,180","1,600",10,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,"Tracking and communications with space shuttle, other missions.",Argentina,16
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",7/31/1995,USA,Communications,GEO,Not Available,1436.1,"1,156",884,10,USA,Cape Canaveral,Atlas 2A,1995-038A,23628,Moved to replace GOES 3 in providing internet service to researchers in Antarctica for 3.5 hours per day.,Israel,15
INMARSAT 3 F1 ,4/3/1996,United Kingdom,Communications,GEO,Not Available,1436.08,"2,064",860,13,USA,Cape Canaveral,Atlas 2A,1996-020A,23839,"Broadcasting, business services, mobile communications; leased traffic; demand-assigned L-band transponders; Indian Ocean region.",Saudi Arabia,13
Astra 1F ,4/18/1996,Luxembourg,Communications,GEO,Not Available,1436.15,"3,010","1,800",15,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.,Netherlands,12
MSAT 1 ,4/20/1996,USA/Canada,Communications,GEO,Not Available,1436.09,"2,850","1,330",12,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846,Wireless network for North America,France,12
"Mercury 2 (Advanced Vortex 2, USA 118)",4/24/1996,USA,Earth Observation,GEO,Not Available,1436.12,"8,000","4,000",0,USA,Cape Canaveral,Titan IVA,1996-026A,23855,In the $1 billion range; ELINT; signals intelligence.,Italy,12
INMARSAT 3 F2 ,9/6/1996,United Kingdom,Communications,GEO,Not Available,1436.1,"2,070",860,13,USA,Baikonur Cosmodrome,Proton,1996-053A,24307,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Atlantic Ocean region.",Australia,12
"AMC-1 (Americom 1, GE-1)",9/8/1996,USA,Communications,GEO,Not Available,1436.1,"2,783","1,600",15,USA,Cape Canaveral,Atlas 2A,1996-054A,24315,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",Brazil,11
Aeneas,9/13/2012,USA,Technology Development,LEO,Equatorial,97.4,3,0,0,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonstration program to track cargo containers worldwide.,Taiwan/USA,11
INMARSAT 3 F3 ,12/18/1996,United Kingdom,Communications,GEO,Not Available,1436.07,"2,074",860,13,USA,Cape Canaveral,Atlas,1996-070A,24674,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; Pacific Ocean region.",Indonesia,9
Aerocube 10A (Jimsat),8/9/2019,USA,Technology Development,LEO,Non-Polar Inclined,94.15,2,0,0,USA,Cygnus,Nanorack Deployer,2019-022D,44485,Not Available,Singapore,8
Aerocube 10B (Dougsat),8/9/2019,USA,Technology Development,LEO,Non-Polar Inclined,94.15,2,0,0,USA,Cygnus,Nanorack Deployer,2019-022C,44484,Not Available,United Arab Emirates,8
Aerocube 11A (TOMSat Eagle Scout),12/17/2018,USA,Technology Development,LEO,Polar,94.6,4,0,0,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.,Norway,7
Aerocube 11B (TOMSat R3),12/17/2018,USA,Technology Development,LEO,Polar,94.6,4,0,0,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.,Finland,7
Aerocube 12A,7/16/2018,USA,Technology Development,LEO,Non-Polar Inclined,94.2,4,0,0,USA,Cygnus,Nanorack Deployer,2018-046C,43556,Not Available,Turkey,7
Aerocube 12B,7/16/2018,USA,Technology Development,LEO,Non-Polar Inclined,94.2,4,0,0,USA,Cygnus,Nanorack Deployer,2018-046D,43557,Not Available,Kazakhstan,7
Aerocube 14A,1/31/2020,USA,Technology Development,LEO,Non-Polar Inclined,93.9,0,0,0,USA,Cygnus,Nanorack Deployer,2019-071D,45114,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells.",Thailand,5
Aerocube 14B,1/31/2020,USA,Technology Development,LEO,Non-Polar Inclined,93.9,0,0,0,USA,Cygnus,Nanorack Deployer,2019-071F,45116,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps.",Denmark,5
Aerocube 15A,1/31/2020,USA,Technology Development,LEO,Non-Polar Inclined,93.9,0,0,0,USA,Cygnus,Nanorack Deployer,2019-071G,45117,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit.",USA/Japan,5
Aerocube 5C,10/8/2015,USA,Technology Development,LEO,Non-Polar Inclined,97.74,2,0,0,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication.",Algeria,5
Aerocube 6A,6/19/2014,USA,Technology Development,LEO,Sun-Synchronous,97.88,5,0,3,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.,South Africa,5
Aerocube 6B,6/19/2014,USA,Technology Development,LEO,Sun-Synchronous,97.88,5,0,3,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.,Malaysia,5
Aerocube 7A,10/8/2015,USA,Technology Development,LEO,Non-Polar Inclined,97.4,2,0,0,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,Not Available,Mexico,4
Aerocube 8A,5/20/2015,USA,Technology Development,LEO,Non-Polar Inclined,95.19,5,0,0,USA,Cape Canaveral,Atlas 5,2015-025J,40659,Not Available,Switzerland,4
Aerocube 8B,5/20/2015,USA,Technology Development,LEO,Non-Polar Inclined,95.19,5,0,0,USA,Cape Canaveral,Atlas 5,2015-025K,40660,Not Available,Vietnam,4
Aerocube 8D,11/11/2016,USA,Technology Development,LEO,Sun-Synchronous,96.23,2,0,0,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,Not Available,USA/Argentina,4
"AMC-2 (Americom 2, GE-2)",1/30/1997,USA,Communications,GEO,Not Available,1436.1,"2,648","1,600",15,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",Pakistan,3
AIM (Aeronomy of Ice in Mesosphere),4/25/2007,USA,Earth Observation,LEO,Sun-Synchronous,96.2,215,197,2,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,France/Italy,3
AISat-1,6/30/2014,Germany,Communications,LEO,Sun-Synchronous,97.76,14,0,0,Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.,Egypt,3
AISSat-1 (Automatic Identification System Satellite-1),7/12/2010,Norway,Communications,LEO,Sun-Synchronous,97.2,6,0,3,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,Czech Republic,3
AISSat-2 (Automatic Identification System Satellite-2),7/8/2014,Norway,Communications,LEO,Sun-Synchronous,97.27,6,0,3,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Second in the series.,Nigeria,3
AIST-1,12/28/2013,Russia,Technology Development,LEO,Polar,96.9,0,0,0,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,China/France,2
AIST-2,4/19/2013,Russia,Technology Development,LEO,Non-Polar Inclined,96.06,53,0,3,Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.,Hungary,2
AIST-2D,4/27/2016,Russia,Technology Development,LEO,Sun-Synchronous,94.18,531,0,0,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.",Poland,2
AISTechSat-2,12/3/2018,Spain,Earth Observation,LEO,Sun-Synchronous,96.4,3,0,0,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.,Morocco,2
AISTechSat-3,4/1/2019,Spain,Earth Observation,LEO,Sun-Synchronous,94.6,2,0,0,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.,USA/Germany,2
"Intelsat 26 (JCSat R, JCSAT-4, Japan Communications Satellite 4)",2/16/1997,USA,Communications,GEO,Not Available,1436.1,"3,124","1,841",12,USA,Cape Canaveral,Atlas 2AS,1997-007A,24732,"Backup for JCSAT-3; 12 C-band, 12 Ku-band; relay voice, data, television signals via Ku-band to eastern Asia, Australia, New Zealand, India; via C-band to eastern and southern Asia and Hawaii. Digital TV. Sold to Intelsat in 2010.",Sweden,2
DSP 18 (USA 130) (Defense Support Program),2/23/1997,USA,Earth Observation,GEO,Not Available,1436.27,"2,380",0,5,USA,Cape Canaveral,Titan IVB,1997-008A,24737,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,Lithuania,2
ALE-2 (Astro Live Experiences-2),12/6/2019,Japan,Earth Science,LEO,Sun-Synchronous,92.06,75,0,0,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.,France/Belgium/Sweden,2
Al-Farabi-2,12/3/2018,Kazakhstan,Technology Development,LEO,Sun-Synchronous,96.2,4,0,0,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Technology demonstration mission.,USA/Canada,2
ALiCE  (AFIT LEO iMESA CNT E),12/6/2013,USA,Technology Development,LEO,Polar,98,5,0,0,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,Greece,2
Alsat 2B,9/26/2016,Algeria,Earth Observation,LEO,Sun-Synchronous,97.7,117,0,5,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Surveillance.,Japan/Singapore,2
Alsat-1B,9/26/2016,Algeria,Earth Observation,LEO,Sun-Synchronous,98.4,103,0,5,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,",China/Germany,2
AlSat-1N,9/26/2016,Algeria,Technology Development,LEO,Sun-Synchronous,98.3,10,0,0,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.,China/Brazil,2
Alsat-2A (Algeria Satellite 2A),7/12/2010,Algeria,Earth Observation,LEO,Sun-Synchronous,98.2,130,0,5,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",Venezuela,2
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",5/24/1997,USA,Communications,GEO,Not Available,1436.08,"3,515",0,13,USA,Baikonur Cosmodrome,Proton K,1997-026A,24812,"24 C-band, 28 Ku-band; U.S., southern Canada, Mexico, Caribbean.",Philippines,2
"Intelsat 5 (Arabsat 2C, Panamsat-5, PAS-5)",8/28/1997,USA,Communications,GEO,Not Available,1436.09,"2,730","2,519",15,USA,Baikonur Cosmodrome,Proton K,1997-046A,24916,"28 C-band, 28 Ku-band; covers Arab world. Inclined.",India/France,2
"Eagle-1 (AMC-3, Americom 3, GE-3)",9/4/1997,USA,Communications,GEO,Not Available,1436.08,"2,845","1,600",15,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936,"North America, Caribbean, Gulf of Mexico",Azerbaijan,2
NSS-5 (Intelsat 803),9/23/1997,Netherlands,Communications,GEO,Not Available,1436.08,"3,412","2,000",14,USA,Guiana Space Center,Ariane 42L,1997-053A,24957,"38 C-band, 6 Ku-band; Pacific Ocean region; shared capacity with Intelset. In 2012 moved by NSS to secure orbital slot 50.5 for Thaicom under future plan agreement.",Belarus,2
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",10/24/1997,USA,Communications,GEO,Not Available,1436.1,"1,156",884,10,USA,Cape Canaveral,Delta 4,1997-065A,25019,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",France/Italy/Belgium/Spain/Greece,2
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",11/8/1997,USA,Earth Observation,Elliptical,Not Available,709.61,"8,000",0,0,USA,Cape Canaveral,Titan IVA,1997-068A,25034,Signals intelligence; surveillance of cellular phones.,Russia/USA,2
Astra 1G ,12/2/1997,Luxembourg,Communications,GEO,Not Available,1436.08,"3,379","3,010",15,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe,USA/Mexico,1
INMARSAT 3 F5 ,2/4/1998,United Kingdom,Communications,GEO,Not Available,1436.07,"2,000",895,13,USA,Guiana Space Center,Ariane 44L,1998-006B,25153,"Broadcasting, business services, mobile communications; demand assigned L-band transponders; back-up and leased-capacity.",Chile,1
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",3/16/1998,USA,Communications,GEO,Not Available,1435.94,"3,206","1,545",4,USA,Cape Canaveral,Atlas 2,1998-016A,25258,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,Austria,1
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",5/9/1998,USA,Earth Observation,GEO,Not Available,1436.14,"4,500",0,0,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,Bolivia,1
Astra 2A ,8/30/1998,Luxembourg,Communications,GEO,Not Available,1436.12,"3,635","2,500",15,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.",Turkmenistan/Monaco,1
Galaxy-11,1/21/1999,USA,Communications,GEO,Not Available,1436.11,"4,488","2,775",14,USA,Guiana Space Center,Ariane 4,1999-071A,26038,"Voice and video communications; 24 C-band, 40 Ku-band; North America, Brazil. Solar panels very degraded - will serve for DTH applications.",France/USA,1
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",2/15/1999,Japan,Communications,GEO,Not Available,1435.52,"2,900","1,230",14.5,USA,Cape Canaveral,Atlas 2AS,1999-006A,25630,"32 Ku-band; multimedia and Internet access and voice, data and television signals to Japan.",USA/Canada/Japan,1
Skynet 4E ,2/26/1999,United Kingdom,Communications,GEO,Not Available,1436.06,"1,510",759,7,France/UK/Germany,Guiana Space Center,Ariane 44L,1999-009B,25639,"Used primarily by UK's armed forces, government departments, agencies and other organizations that require secure communications.",Jordan,1
AmGU-1 (AmurSat-1),7/5/2019,Russia,Space Science,LEO,Sun-Synchronous,95.2,4,0,0,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,USA/Sweden,1
AsiaSat-3S (Asiasat 3SA),3/21/1999,China,Communications,GEO,Not Available,1436.07,"3,480","2,500",15,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",ESA/USA/Russia,1
Arabsat 7F (Nimiq 1) ,5/20/1999,Multinational,Communications,GEO,Not Available,1436.09,"3,600","1,700",12,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Television broadcast;  32 Ku-band.,Sudan,1
"ABS-7 (Koreasat 3, Mugungwha 3)",9/4/1999,Multinational,Communications,GEO,Not Available,1436.06,"3,500","1,800",15,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",Belgium,1
Amsat-Oscar 7 (AO-7),11/15/1974,USA,Communications,LEO,Polar,114.9,29,0,0,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.,USA/France,1
ANGELS (Argos Neo on a Generic Economical and Light Satellite),12/18/2019,ESA,Communications,LEO,Sun-Synchronous,94.9,18,0,0,ESA,Guiana Space Center,Soyuz,2019-092D,44876,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. ",Colombia,1
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",9/26/1999,Multinational,Communications,GEO,Not Available,1436.08,"2,894","1,730",15,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",Nepal,1
Telstar 12 (Orion 2),10/19/1999,Multinational,Communications,GEO,Not Available,1436.09,"3,878","1,900",13,USA,Guiana Space Center,Ariane 44LP,1999-059A,25949,"Voice and video communications to the Americas, Europe, and Africa",ESA/USA,1
"AMC-4 (Americom-4, GE-4)",11/13/1999,USA,Communications,GEO,Not Available,1436.1,"3,909","2,500",15,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",Greece/United Kingdom,1
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",11/24/1999,USA,Communications,GEO,Not Available,1436.1,"3,200","1,540",4,USA,Cape Canaveral,Atlas 2,1999-063A,25967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,Ecuador,1
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",1/1/2000,USA,Communications,GEO,Not Available,1436.13,"1,156",884,10,USA,Cape Canaveral,Atlas 2A,2000-001A,26052,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",Qatar,1
Aoba-VELOX 4,1/18/2019,Japan,Technology Development,LEO,Sun-Synchronous,94.6,3,0,0,Japan,Uchinoura Space Center,Epsilon,2019-003J,43940,"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations.",USA/Japan/Brazil,1
AprizeSat 1 (LatinSat-C),6/29/2004,Argentina,Communications/Technology Development,LEO,Sun-Synchronous,99.4,12,12,0,Argentina,Baikonur Cosmodrome,Dnepr,2004-025G,28372,Messaging services.,France/Israel,1
AprizeSat 10 (exactView-13),6/19/2014,USA/Argentina,Communications/Maritime Tracking,LEO,Sun-Synchronous,98,12,12,0,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.,Bangladesh,1
AprizeSat 2 (LatinSat-D),6/29/2004,Argentina,Communications/Technology Development,LEO,Sun-Synchronous,100.3,12,12,0,Argentina,Baikonur Cosmodrome,Dnepr,2004-025A,28366,Messaging services.,Ukraine,1
AprizeSat 3 ,7/29/2009,USA/Argentina,Communications/Maritime Tracking,LEO,Sun-Synchronous,97,12,12,0,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,Morocco/Germany,1
AprizeSat 4 ,7/29/2009,USA/Argentina,Communications/Maritime Tracking,LEO,Sun-Synchronous,97.5,12,12,0,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,Bhutan,1
AprizeSat 5,8/17/2011,Canada,Communications,LEO,Sun-Synchronous,97.8,12,12,0,USA,Dombarovsky Air Base,Dnepr,2011-044E,37792,Continuation of constellation.,Taiwan,1
AprizeSat 7,11/21/2013,Canada,Communications,LEO,Sun-Synchronous,97.17,12,12,0,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.,Iran,1
AprizeSat 8 (exactView-12),11/21/2013,USA/Argentina,Communications/Maritime Tracking,LEO,Sun-Synchronous,97.99,12,12,0,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.,Singapore/Taiwan,1
AprizeSat 9 (exactView-11),6/19/2014,Canada,Communications/Maritime Tracking,LEO,Sun-Synchronous,98,12,12,0,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.,India/Canada,1
AsiaStar ,3/21/2000,USA,Communications,GEO,Not Available,1436.15,"2,775","1,530",15,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.",USA/United Kingdom/Italy,1
DSP 20 (USA 149) (Defense Support Program),5/18/2000,USA,Earth Observation,GEO,Not Available,142.08,"2,380",0,9,USA,Cape Canaveral,Titan IVB,2000-024A,26356,Infrared sensors to detect heat from missile and booster plumes against earth's background; detection capability of smaller missiles; improved warning of attack by short-range missiles against U.S. and allied forces.,Sri Lanka,1
"Eutelsat 36A (Eutelsat 48E, Eutelsat W-4) ",5/24/2000,Multinational,Communications,GEO,Not Available,1436.08,"3,190","1,380",12,France,Cape Canaveral,Atlas 3A,2000-028A,26369,"Thirty-one operational channels, Western Russia,  majoritiy of central and southern Afirca.",Iraq,1
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",6/30/2000,USA,Communications,GEO,Not Available,1436.2,"3,180","1,600",11,USA,Cape Canaveral,Atlas 2A,2000-034A,26388,"Tracking and communications with space shuttle, other missions; not fully functional.",China/Italy,1
"Intelsat 9 (IS-9, PAS-9) ",7/28/2000,USA,Communications,GEO,Not Available,1436.14,"3,659","2,389",15,USA,Sea Launch Odyssey,Zenit 3SL,2000-043A,26451,"160 voice, video, data, and Internet channels; 24 C-band, 24 Ku-band; Americas, Caribbean, Europe.",Ethiopia,1
Brazilsat B-4 (Brasilsat B-4),8/17/2000,Brazil,Communications,GEO,Not Available,1436.09,"2,495","1,050",12,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469,28 C-band; voice and video communications to all of South America.,Latvia,1
Astra 2B ,9/14/2000,Luxembourg,Communications,GEO,Not Available,1436.11,"3,315","1,400",14,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.",United Kingdom/ESA,1
Arkyd-6A,1/11/2018,USA,Technology Development,LEO,Sun-Synchronous,94.5,10,0,0,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130,Not Available,Laos,1
"NSS-11 (Worldsat-1, AAP-1, GE-1A) ",10/2/2000,Netherlands,Communications,GEO,Not Available,1436.15,"3,582","2,000",15,USA,Baikonur Cosmodrome,Proton K,2000-059A,26554,"Direct-to-home voice, video and data transmission in India, China and Philippines; 24 C-band, 24 Ku-band transponders.",Peru,1
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",10/7/2000,Japan,Communications,GEO,Not Available,1436.11,"3,531","1,669",15,USA,Guiana Space Center,Ariane 44L,2000-060A,26559,24 Ku-band; voice and video communications to Japan.,Bulgaria,1
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",10/20/2000,USA,Communications,GEO,Not Available,1436.12,"1,156",884,10,USA,Cape Canaveral,Atlas 2A,2000-065A,26575,"Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.",,
"AMC-6 (Americom-6, GE-6)",10/22/2000,USA,Communications,GEO,Not Available,1436.12,"3,901","2,500",15,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",,
